单位,中文名称,单位类型,补充说明,换算公式
omani_rial,阿曼里亚尔,货币,需要实时汇率，无法简单转换,无固定公式
openings_per_square_cm,开口数/平方厘米,筛网密度,简单转换,基准单位
openings_per_square_inch,开口数/平方英寸,筛网密度,简单转换,基准单位
operations,操作,计数单位,简单转换,基准单位
ounce,盎司,质量,简单转换,1 oz = 28.3495 g
ounces,盎司,质量,简单转换,1 oz = 28.3495 g
ounces_per_cubic_inch,盎司/立方英寸,密度,简单转换,1 oz/in³ = 1729.99 kg/m³
ounces_per_square_inch,盎司/平方英寸,面密度,简单转换,基准单位
packet,包,包装单位,计数单位，无法转换,基准单位
pad,垫,产品包装,计数单位，无法转换,基准单位
pages,页,计数单位,简单转换,基准单位
pages_per_minute,页/分钟,打印速度,简单转换,基准单位
pages_per_month,页/月,打印量,简单转换,基准单位
pages_per_second,页/秒,打印速度,简单转换,基准单位
pages_per_sheet,页/张,打印密度,简单转换,基准单位
pair,对,计数单位,简单转换,1 pair = 2 units
pakistani_rupee,巴基斯坦卢比,货币,需要实时汇率，无法简单转换,无固定公式
panamanian_balboa,巴拿马巴波亚,货币,需要实时汇率，无法简单转换,无固定公式
papua_new_guinean_kina,巴布亚新几内亚基那,货币,需要实时汇率，无法简单转换,无固定公式
paraguayan_guarani,巴拉圭瓜拉尼,货币,需要实时汇率，无法简单转换,无固定公式
parts_per_billion,十亿分之一,浓度,简单转换,1 ppb = 0.001 ppm
parts_per_hundred,百分之一,比例,简单转换,1 pph = 1% = 0.01
parts_per_million,百万分之一,浓度,简单转换,基准单位
parts_per_quadrillion,千万亿分之一,浓度,简单转换,1 ppq = 0.000000001 ppm
parts_per_thousand,千分之一,比例,简单转换,1 ppt = 0.1% = 0.001
parts_per_trillion,万亿分之一,浓度,简单转换,1 ppt = 0.000001 ppm
pascal,帕斯卡,压力,简单转换,基准单位
pascal_seconds,帕斯卡·秒,粘度,简单转换,1 Pa·s = 10 P
patch,贴片,药品剂型,计数单位，无法转换,基准单位
pen_needle,笔用针头,医疗器械,计数单位，无法转换,基准单位
percent,百分比,比例,简单转换,1% = 0.01
percent_by_volume,体积百分比,浓度,简单转换,基准单位
percent_by_weight,重量百分比,浓度,简单转换,基准单位
percent_daily_value_fda,FDA每日百分比,营养标准,需要具体营养标准，无法简单转换,无固定公式
percent_volume_by_volume,体积/体积百分比,浓度,简单转换,基准单位
percent_weight_by_volume,重量/体积百分比,浓度,简单转换,基准单位
percent_weight_by_weight,重量/重量百分比,浓度,简单转换,基准单位
percentage,百分比,比例,简单转换,1% = 0.01
peruvian_nuevo_sol,秘鲁新索尔,货币,需要实时汇率，无法简单转换,无固定公式
petabyte,拍字节,数据存储,简单转换,1 PB = 1024 TB
petafarad,拍法,电容,简单转换,1 PF = 10¹⁵ F
ph,pH值,酸碱度,简单转换但有特殊公式,pH = -log₁₀[H⁺]
philippine_peso,菲律宾比索,货币,需要实时汇率，无法简单转换,无固定公式
photos,照片,计数单位,简单转换,基准单位
picoamps,皮安,电流,简单转换,1 pA = 0.000000000001 A
picofarad,皮法,电容,简单转换,1 pF = 0.000000000001 F
picoliters,皮升,体积,简单转换,1 pL = 0.000000000001 L
picoliters_per_minute,皮升/分钟,流量,简单转换,1 pL/min = 0.0000000000000166667 L/s
picoliters_per_second,皮升/秒,流量,简单转换,1 pL/s = 0.000000000001 L/s
picometer,皮米,长度,简单转换,1 pm = 0.000000000001 m
picoohms,皮欧,电阻,简单转换,1 pΩ = 0.000000000001 Ω
picoseconds,皮秒,时间,简单转换,1 ps = 0.000000000001 s
picowatts,皮瓦,功率,简单转换,1 pW = 0.000000000001 W
pictures,图片,计数单位,简单转换,基准单位
piece,个,计数单位,简单转换,基准单位
pills,药丸,药品剂型,计数单位，无法转换,基准单位
pints,品脱,体积,简单转换,1 US pint = 473.176 mL
pints_per_day,品脱/天,流量,简单转换,1 pt/d = 0.00000549537 L/s
pitch,节距,长度,简单转换,基准单位
pixels,像素,数字图像,简单转换,基准单位
pixels_per_inch,像素/英寸,分辨率,简单转换,基准单位
place_settings,餐位,餐具计数,计数单位，无法转换,基准单位
pods,豆荚,产品包装,计数单位，无法转换,基准单位
poise,泊,粘度,简单转换,基准单位
polish_zloty,波兰兹罗提,货币,需要实时汇率，无法简单转换,无固定公式
portions,份,食品计量,计数单位，无法转换,基准单位
portuguese_escudos,葡萄牙埃斯库多,货币,已淘汰，需要历史汇率,无固定公式
pouch,小袋,包装单位,计数单位，无法转换,基准单位
pound_per_square_foot,磅力/平方英尺,压力,简单转换,1 psf = 47.8803 Pa
pounds,磅,质量,简单转换,1 lb = 0.45359237 kg
pounds_per_cubic_foot,磅/立方英尺,密度,简单转换,1 lb/ft³ = 16.0185 kg/m³
pounds_per_cubic_inch,磅/立方英寸,密度,简单转换,1 lb/in³ = 27679.9 kg/m³
pounds_per_cubic_yard,磅/立方码,密度,简单转换,1 lb/yd³ = 0.593276 kg/m³
pounds_per_gallon,磅/加仑,密度,简单转换,1 lb/gal = 119.826 kg/m³
pounds_per_inch,磅/英寸,线密度,简单转换,1 lb/in = 17.8580 kg/m
pounds_per_square_inch,磅力/平方英寸,压力,简单转换,1 psi = 6894.76 Pa
pounds_per_square_yard,磅/平方码,面密度,简单转换,1 lb/yd² = 0.542492 kg/m²
pre_filled_pen,预充式笔,医疗器械,计数单位，无法转换,基准单位
primary,初级,等级分类,需要具体标准，无法转换,无固定公式
pulses,脉冲,计数单位,简单转换,基准单位
pump,泵,医疗器械,计数单位，无法转换,基准单位
qatari_riyal,卡塔尔里亚尔,货币,需要实时汇率，无法简单转换,无固定公式
quarters,四分之一,分数单位,简单转换,1 quarter = 0.25
quarts,夸脱,体积,简单转换,1 US quart = 946.353 mL
r_value,R值,热阻,简单转换,基准单位
r_value_metric,公制R值,热阻,简单转换,1 R (metric) = 0.1761 R (US)
radians,弧度,角度,简单转换,基准单位
radians_per_second,弧度/秒,角速度,简单转换,基准单位
radians_per_second_squared,弧度/秒²,角加速度,简单转换,基准单位
revolutions,转,计数单位,简单转换,基准单位
revolutions_per_hour,转/小时,转速,简单转换,1 RPH = 1/3600 RPS
revolutions_per_month,转/月,转速,简单转换,基准单位
revolutions_per_second,转/秒,转速,简单转换,1 RPS = 60 RPM
revolutions_per_second_squared,转/秒²,角加速度,简单转换,基准单位
revolutions_per_week,转/周,转速,简单转换,基准单位
ring,环,珠宝,计数单位，无法转换,基准单位
rockwell_15n,洛氏15N硬度,材料硬度,需要专业测试数据，无法简单转换,无固定公式
rockwell_15t,洛氏15T硬度,材料硬度,需要专业测试数据，无法简单转换,无固定公式
rockwell_30n,洛氏30N硬度,材料硬度,需要专业测试数据，无法简单转换,无固定公式
rockwell_30t,洛氏30T硬度,材料硬度,需要专业测试数据，无法简单转换,无固定公式
rockwell_45n,洛氏45N硬度,材料硬度,需要专业测试数据，无法简单转换,无固定公式
rockwell_45t,洛氏45T硬度,材料硬度,需要专业测试数据，无法简单转换,无固定公式
rockwell_a,洛氏A硬度,材料硬度,需要专业测试数据，无法简单转换,无固定公式
rockwell_b,洛氏B硬度,材料硬度,需要专业测试数据，无法简单转换,无固定公式
rockwell_c,洛氏C硬度,材料硬度,需要专业测试数据，无法简单转换,无固定公式
rockwell_d,洛氏D硬度,材料硬度,需要专业测试数据，无法简单转换,无固定公式
rockwell_e,洛氏E硬度,材料硬度,需要专业测试数据，无法简单转换,无固定公式
rockwell_f,洛氏F硬度,材料硬度,需要专业测试数据，无法简单转换,无固定公式
rockwell_g,洛氏G硬度,材料硬度,需要专业测试数据，无法简单转换,无固定公式
rockwell_h,洛氏H硬度,材料硬度,需要专业测试数据，无法简单转换,无固定公式
rockwell_k,洛氏K硬度,材料硬度,需要专业测试数据，无法简单转换,无固定公式
rockwell_l,洛氏L硬度,材料硬度,需要专业测试数据，无法简单转换,无固定公式
rockwell_m,洛氏M硬度,材料硬度,需要专业测试数据，无法简单转换,无固定公式
rockwell_p,洛氏P硬度,材料硬度,需要专业测试数据，无法简单转换,无固定公式
rockwell_r,洛氏R硬度,材料硬度,需要专业测试数据，无法简单转换,无固定公式
rockwell_s,洛氏S硬度,材料硬度,需要专业测试数据，无法简单转换,无固定公式
rockwell_v,洛氏V硬度,材料硬度,需要专业测试数据，无法简单转换,无固定公式
roll,卷,产品包装,计数单位，无法转换,基准单位
romanian_leu,罗马尼亚列伊,货币,需要实时汇率，无法简单转换,无固定公式
rotations,旋转,计数单位,简单转换,基准单位
rows,行,计数单位,简单转换,基准单位
rpm,转/分钟,转速,简单转换,1 RPM = 1/60 RPS
russian_rouble,俄罗斯卢布,货币,需要实时汇率，无法简单转换,无固定公式
russian_ruble,俄罗斯卢布,货币,需要实时汇率，无法简单转换,无固定公式
rwandan_franc,卢旺达法郎,货币,需要实时汇率，无法简单转换,无固定公式
sachet,小袋,包装单位,计数单位，无法转换,基准单位
sae_grade,SAE等级,标准规范,需要具体标准，无法转换,无固定公式
saint_helena_pound,圣赫勒拿镑,货币,需要实时汇率，无法简单转换,无固定公式
samoan_tala,萨摩亚塔拉,货币,需要实时汇率，无法简单转换,无固定公式
samples_per_second,采样点/秒,采样率,简单转换,基准单位
sao_tome_and_principe_dobra,圣多美和普林西比多布拉,货币,需要实时汇率，无法简单转换,无固定公式
saudi_riyal,沙特里亚尔,货币,需要实时汇率，无法简单转换,无固定公式
scoops,勺,计量单位,计数单位，无法转换,基准单位
seconds,秒,时间,简单转换,基准单位
serbian_dinar,塞尔维亚第纳尔,货币,需要实时汇率，无法简单转换,无固定公式
seychelles_rupee,塞舌尔卢比,货币,需要实时汇率，无法简单转换,无固定公式
sheet,张,计数单位,简单转换,基准单位
shore_a,邵氏A硬度,材料硬度,需要专业测试数据，无法简单转换,无固定公式
shore_b,邵氏B硬度,材料硬度,需要专业测试数据，无法简单转换,无固定公式
shore_c,邵氏C硬度,材料硬度,需要专业测试数据，无法简单转换,无固定公式
shore_d,邵氏D硬度,材料硬度,需要专业测试数据，无法简单转换,无固定公式
shore_do,邵氏DO硬度,材料硬度,需要专业测试数据，无法简单转换,无固定公式
shore_e,邵氏E硬度,材料硬度,需要专业测试数据，无法简单转换,无固定公式
shore_m,邵氏M硬度,材料硬度,需要专业测试数据，无法简单转换,无固定公式
shore_o,邵氏O硬度,材料硬度,需要专业测试数据，无法简单转换,无固定公式
shore_oo,邵氏OO硬度,材料硬度,需要专业测试数据，无法简单转换,无固定公式
shore_ooo,邵氏OOO硬度,材料硬度,需要专业测试数据，无法简单转换,无固定公式
shore_ooo_s,邵氏OOO-S硬度,材料硬度,需要专业测试数据，无法简单转换,无固定公式
shore_r,邵氏R硬度,材料硬度,需要专业测试数据，无法简单转换,无固定公式
sierra_leonean_leone,塞拉利昂利昂,货币,需要实时汇率，无法简单转换,无固定公式
singapore_dollar,新加坡元,货币,需要实时汇率，无法简单转换,无固定公式
softgel,软胶囊,药品剂型,计数单位，无法转换,基准单位
solomon_islands_dollar,所罗门群岛元,货币,需要实时汇率，无法简单转换,无固定公式
somali_shilling,索马里先令,货币,需要实时汇率，无法简单转换,无固定公式
sones,宋,响度,需要心理声学测量，无法简单转换,无固定公式
south_african_rand,南非兰特,货币,需要实时汇率，无法简单转换,无固定公式
south_korean_won,韩元,货币,需要实时汇率，无法简单转换,无固定公式
south_sudanese_pound,南苏丹镑,货币,需要实时汇率，无法简单转换,无固定公式
spanish_pesetas,西班牙比塞塔,货币,已淘汰，需要历史汇率,无固定公式
spray,喷雾,药品剂型,计数单位，无法转换,基准单位
square_centimeters,平方厘米,面积,简单转换,1 cm² = 0.0001 m²
square_feet,平方英尺,面积,简单转换,1 ft² = 0.092903 m²
square_inches,平方英寸,面积,简单转换,1 in² = 0.00064516 m²
square_meters,平方米,面积,简单转换,基准单位
square_millimeters,平方毫米,面积,简单转换,1 mm² = 0.000001 m²
square_yards,平方码,面积,简单转换,1 yd² = 0.836127 m²
sri_lankan_rupee,斯里兰卡卢比,货币,需要实时汇率，无法简单转换,无固定公式
stick,棒,产品包装,计数单位，无法转换,基准单位
stokes,斯托克斯,运动粘度,简单转换,基准单位
stops,档,摄影,简单转换但对数关系,每档光圈面积减半或ISO加倍
strip,条,产品包装,计数单位，无法转换,基准单位
sudanese_pound,苏丹镑,货币,需要实时汇率，无法简单转换,无固定公式
sun_protection_factor,防晒系数,防晒,简单转换,基准单位
suppository,栓剂,药品剂型,计数单位，无法转换,基准单位
surinamese_dollar,苏里南元,货币,需要实时汇率，无法简单转换,无固定公式
swazi_lilangeni,斯威士兰里兰吉尼,货币,需要实时汇率，无法简单转换,无固定公式
swedish_krona,瑞典克朗,货币,需要实时汇率，无法简单转换,无固定公式
swiss_francs,瑞士法郎,货币,需要实时汇率，无法简单转换,无固定公式
syrian_pound,叙利亚镑,货币,需要实时汇率，无法简单转换,无固定公式
syringe,注射器,医疗器械,计数单位，无法转换,基准单位
tablespoons,汤匙,体积,简单转换,1 US tbsp = 14.7868 mL
tablet,片剂,药品剂型,计数单位，无法转换,基准单位
tajikistani_somoni,塔吉克斯坦索莫尼,货币,需要实时汇率，无法简单转换,无固定公式
tanzanian_shilling,坦桑尼亚先令,货币,需要实时汇率，无法简单转换,无固定公式
tb,太字节,数据存储,简单转换,1 TB = 1024 GB
teaspoons,茶匙,体积,简单转换,1 US tsp = 4.92892 mL
teen_boys_us,美国青少年男装尺码,服装尺码,需要尺寸对照表，无法简单转换,无固定公式
teen_girls_us,美国青少年女装尺码,服装尺码,需要尺寸对照表，无法简单转换,无固定公式
teen_us,美国青少年尺码,服装尺码,需要尺寸对照表，无法简单转换,无固定公式
teeth,齿,计数单位,简单转换,基准单位
teeth_per_inch,齿/英寸,密度,简单转换,基准单位
ten_thousandths_inches,万分之一英寸,长度,简单转换,0.0001 in = 0.00254 mm
terabyte,太字节,数据存储,简单转换,1 TB = 1024 GB
terabytes_per_second,太字节/秒,数据传输率,简单转换,1 TB/s = 1024 GB/s
terafarad,太法,电容,简单转换,1 TF = 10¹² F
terahertz,太赫兹,频率,简单转换,1 THz = 1000 GHz
teraohms,太欧,电阻,简单转换,1 TΩ = 1000 GΩ
tgw,总毛重,质量,简单转换,基准单位
thai_baht,泰铢,货币,需要实时汇率，无法简单转换,无固定公式
thirty_seconds_inches,三十二分之一英寸,长度,简单转换,1/32 in = 0.79375 mm
thousandths_inches,千分之一英寸,长度,简单转换,0.001 in = 0.0254 mm
threads_per_centimeter,螺纹/厘米,密度,简单转换,基准单位
threads_per_inch,螺纹/英寸,密度,简单转换,基准单位
toddler_uk,英国幼儿尺码,服装尺码,需要尺寸对照表，无法简单转换,无固定公式
toddler_us,美国幼儿尺码,服装尺码,需要尺寸对照表，无法简单转换,无固定公式
tog,托格,热阻,简单转换,1 tog = 0.1 m²·K/W
tongan_paanga,汤加潘加,货币,需要实时汇率，无法简单转换,无固定公式
tons,吨,质量,简单转换,1 US ton = 907.185 kg
tons_per_acre,吨/英亩,产量,简单转换,1 ton/acre = 2.24170 t/ha
torr,托,压力,简单转换,1 Torr = 133.322 Pa
tray,托盘,包装单位,计数单位，无法转换,基准单位
trinidad_and_tobago_dollar,特立尼达和多巴哥元,货币,需要实时汇率，无法简单转换,无固定公式
troche,糖链,药品剂型,计数单位，无法转换,基准单位
tube,管,包装单位,计数单位，无法转换,基准单位
tunisian_dinar,突尼斯第纳尔,货币,需要实时汇率，无法简单转换,无固定公式
turkish_lira,土耳其里拉,货币,需要实时汇率，无法简单转换,无固定公式
turkmenistani_manat,土库曼斯坦马纳特,货币,需要实时汇率，无法简单转换,无固定公式
turns,匝,计数单位,简单转换,基准单位
turns_per_centimeter,匝/厘米,密度,简单转换,基准单位
turns_per_inch,匝/英寸,密度,简单转换,基准单位
ugandan_shilling,乌干达先令,货币,需要实时汇率，无法简单转换,无固定公式
uk_pounds,英镑,货币,需要实时汇率，无法简单转换,无固定公式
ukrainian_hryvnia,乌克兰格里夫纳,货币,需要实时汇率，无法简单转换,无固定公式
unidad_de_valor_real,哥伦比亚实际价值单位,货币单位,需要实时汇率，无法简单转换,无固定公式
unisex_br,巴西通用尺码,服装尺码,需要尺寸对照表，无法简单转换,无固定公式
unisex_eu,欧洲通用尺码,服装尺码,需要尺寸对照表，无法简单转换,无固定公式
unisex_jp,日本通用尺码,服装尺码,需要尺寸对照表，无法简单转换,无固定公式
unit_of_alcohol,酒精单位,酒精含量,需要具体标准，无法简单转换,无固定公式
united_arab_emirates_dirham,阿联酋迪拉姆,货币,需要实时汇率，无法简单转换,无固定公式
units,单位,计数单位,简单转换,基准单位
unknown_modifier,未知修饰符,未知单位,具体含义不明，无法转换,无固定公式
uruguayan_peso,乌拉圭比索,货币,需要实时汇率，无法简单转换,无固定公式
us_dollars,美元,货币,需要实时汇率，无法简单转换,无固定公式
us_school_grade,美国学校年级,教育等级,需要年龄对应表，无法简单转换,无固定公式
uzbekistan_som,乌兹别克斯坦苏姆,货币,需要实时汇率，无法简单转换,无固定公式
vanuatu_vatu,瓦努阿图瓦图,货币,需要实时汇率，无法简单转换,无固定公式
vector_genomes,载体基因组,生物技术,计数单位，无法转换,基准单位
venezuelan_bolivar,委内瑞拉玻利瓦尔,货币,需要实时汇率，无法简单转换,无固定公式
vial,小瓶,包装单位,计数单位，无法转换,基准单位
vickers,维氏硬度,材料硬度,需要专业测试数据，无法简单转换,无固定公式
vietnamese_dong,越南盾,货币,需要实时汇率，无法简单转换,无固定公式
volt_amperes,伏安,视在功率,简单转换,基准单位
volts,伏特,电压,简单转换,基准单位
volts_of_alternating_current,交流伏特,电压,简单转换,基准单位
volts_of_direct_current,直流伏特,电压,简单转换,基准单位
volts_per_gravity,伏特/重力,加速度灵敏度,简单转换,基准单位
wafer,晶圆,半导体,计数单位，无法转换,基准单位
watt_hours,瓦时,能量,简单转换,1 Wh = 3600 J
watts,瓦特,功率,简单转换,基准单位
watts_per_kilogram,瓦特/千克,功率密度,简单转换,基准单位
watts_per_meter_per_celsius,瓦特/米·摄氏度,热导率,简单转换,基准单位
watts_per_meter_per_kelvin,瓦特/米·开尔文,热导率,简单转换,基准单位
weeks,周,时间,简单转换,1 week = 7 days = 604800 s
west_african_cfa_franc,西非CFA法郎,货币,需要实时汇率，无法简单转换,无固定公式
wir_euro,WIR欧元,补充货币,需要特殊汇率，无法简单转换,无固定公式
wir_franc,WIR法郎,补充货币,需要特殊汇率，无法简单转换,无固定公式
womens_au,澳大利亚女装尺码,服装尺码,需要尺寸对照表，无法简单转换,无固定公式
womens_uk,英国女装尺码,服装尺码,需要尺寸对照表，无法简单转换,无固定公式
womens_us,美国女装尺码,服装尺码,需要尺寸对照表，无法简单转换,无固定公式
words,词,计数单位,简单转换,基准单位
x,倍,比例系数,简单转换,基准单位
yards,码,长度,简单转换,1 yd = 0.9144 m
years,年,时间,简单转换但年份长度不同,平均1年 = 365.2425天
yemeni_rial,也门里亚尔,货币,需要实时汇率，无法简单转换,无固定公式
yoctofarad,幺法,电容,简单转换,1 yF = 10⁻²⁴ F
yottafarad,尧法,电容,简单转换,1 YF = 10²⁴ F
youth_uk,英国青少年尺码,服装尺码,需要尺寸对照表，无法简单转换,无固定公式
youth_us,美国青少年尺码,服装尺码,需要尺寸对照表，无法简单转换,无固定公式
zambian_kwacha,赞比亚克瓦查,货币,需要实时汇率，无法简单转换,无固定公式
zeptofarad,仄法,电容,简单转换,1 zF = 10⁻²¹ F
zettafarad,泽法,电容,简单转换,1 ZF = 10²¹ F
zimbabwe_dollar,津巴布韦元,货币,需要实时汇率，无法简单转换,无固定公式